id_datos_partido_jugado,id_partido,resultado_local,resultado_visitante,cambios_local,cambios_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,corners_local,corners_visitante,posesion_local,posesion_visitante,total_tiros_local,total_tiros_visitante,jornada
8,8,1,2,4,5,1,3,0,0,9,4,63,36,18,12,1
16,16,0,0,4,5,2,1,0,0,2,7,52,47,14,5,2
20,20,4,2,5,5,4,2,0,0,5,3,47,53,14,9,3
32,32,1,0,5,5,3,5,0,0,2,3,56,43,14,15,4
41,41,5,0,5,5,1,2,0,0,9,5,65,34,17,11,5
53,53,1,1,5,5,2,3,0,0,11,8,63,36,21,5,6
65,65,1,1,5,5,2,1,0,0,5,7,39,61,19,13,7
74,74,3,0,5,5,2,2,0,0,5,3,55,44,15,9,8
84,84,1,1,5,5,3,3,0,1,5,3,39,61,15,6,9
94,94,1,1,5,4,5,2,0,0,4,8,44,55,14,13,10
103,103,2,1,4,5,3,4,0,0,6,3,50,49,9,7,11
110,110,2,0,4,5,1,4,0,1,6,1,57,42,22,8,12
120,120,1,1,4,3,1,1,0,0,9,5,60,39,13,14,13
131,131,1,0,5,5,1,2,0,0,7,6,39,60,12,15,14
148,148,0,0,4,4,0,3,0,1,4,6,62,37,20,6,15
157,157,1,1,3,4,2,1,0,0,7,6,37,63,14,12,16
165,165,0,0,5,3,3,4,0,0,2,7,57,42,12,12,17
177,177,1,1,5,5,2,2,0,0,7,6,47,52,21,12,18
184,184,2,1,4,4,0,2,1,0,8,7,40,60,19,14,19
195,195,1,0,3,5,3,4,0,0,13,1,57,42,25,6,20
205,205,2,4,3,3,1,2,0,0,3,4,35,64,14,11,21
215,215,0,1,5,4,2,1,0,0,5,4,52,47,14,8,22
227,227,1,1,5,5,7,4,0,0,3,5,55,45,9,11,23
230,230,0,2,4,5,1,1,0,0,5,3,52,47,14,13,24
245,245,0,0,3,4,5,2,0,0,6,8,61,38,13,13,25
255,255,3,1,4,5,1,6,0,1,5,3,58,41,13,3,26
262,262,2,1,5,5,1,2,0,0,4,6,42,57,17,12,27
275,275,2,3,5,5,3,4,1,1,11,4,54,45,13,6,28
284,284,2,0,5,5,4,4,0,0,4,8,38,61,8,11,29
294,294,3,2,5,5,3,4,0,0,5,4,57,43,9,7,30
306,306,2,1,5,5,1,0,0,0,6,5,46,53,15,12,31
